10,7,77
50,37,407
90,68,748
130,98,1078
170,128,1408
210,158,1738
250,189,2079
290,219,2409
330,244,2684
370,276,3036
410,305,3355
450,336,3555
490,370,3700
530,396,4356
570,428,4294
610,454,4540
650,486,4860
690,516,5160
730,552,6072
770,574,6314
810,609,6090
850,643,7073
890,667,6670
930,698,7678
970,728,7280
